zone_id,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
zone-001,14.460599999999996,15.6486,23.976599999999998,24.036600000000004,19.8276,35.78099999999999,89.75519999999999,72.74159999999999,60.133800000000015,45.97319999999999,40.71,38.060399999999994,55.6014,49.614599999999996,29.565600000000007,26.333400000000008,29.576399999999996,49.431599999999996,69.11279999999998,70.24980000000001,54.980999999999995,40.769999999999996,24.2994,19.753199999999993
zone-002,17.2956,18.312599999999996,25.139399999999995,25.213199999999997,21.936,43.37339999999999,108.84779999999999,88.1136,72.699,55.4226,49.01039999999999,45.7752,66.816,59.600999999999985,35.4684,31.571399999999993,35.48760000000001,59.31900000000002,83.0106,84.48540000000001,66.1572,49.11479999999998,29.226000000000003,23.731199999999998
zone-003,5.7138,5.3591999999999995,10.6644,10.682399999999998,7.018199999999999,18.8646,48.5352,40.30859999999999,34.161,27.2274,24.3294,22.061999999999998,31.0638,28.550399999999996,18.1248,16.2786,16.524,26.818800000000003,37.683,38.248200000000004,29.789399999999997,21.851399999999998,12.538200000000002,9.843000000000002
zone-004,7.7837999999999985,7.433399999999999,10.9848,11.0124,9.118799999999998,23.127,58.9626,47.7348,39.407399999999996,30.013199999999998,26.513399999999997,24.7524,36.4554,32.477399999999996,19.058999999999997,16.866,19.0614,32.3628,45.412800000000004,46.14239999999999,36.009,26.533199999999997,15.424800000000001,12.2592
zone-005,19.1382,20.3538,27.3354,27.417600000000007,23.955000000000013,45.60359999999999,113.70059999999998,97.58339999999995,87.29880000000001,72.7644,65.99759999999999,63.56699999999999,81.5556,75.83580000000003,51.766200000000005,45.97199999999998,50.99159999999999,77.4738,94.40939999999998,93.27480000000006,68.6286,51.13620000000002,30.70499999999999,25.125000000000004
zone-006,23.458799999999993,20.796599999999998,34.6764,34.7694,25.639200000000002,79.7178,205.33499999999998,169.7106,145.07219999999998,115.82460000000003,103.45799999999998,96.46679999999999,133.6608,121.59359999999997,77.10119999999999,67.4808,74.54039999999999,119.7714,161.1708,162.7374,124.98119999999999,91.8006,52.521,41.131800000000005
zone-007,2.9957999999999996,3.4985999999999997,5.0496,5.063999999999999,4.5492,7.3104,18.342,14.844,12.239399999999998,9.325800000000001,8.2464,7.7021999999999995,11.2386,10.028999999999998,5.9748,5.321399999999999,5.9807999999999995,9.987599999999999,13.982399999999998,14.238600000000002,11.155199999999999,8.2878,4.938,4.0194
zone-008,4.3932,4.545,7.586400000000001,7.607399999999999,5.8788,12.8922,32.8752,26.602800000000002,21.9498,16.7094,14.759399999999998,13.779600000000002,20.2962,18.0846,10.616399999999999,9.3996,10.6236,18.0336,25.32,25.7448,20.0946,14.814,8.6154,6.852600000000001
zone-009,5.014200000000001,5.6232,7.6488000000000005,7.6728,7.203600000000001,11.5302,28.701,23.219399999999997,19.129799999999996,14.572200000000002,12.880800000000002,12.025799999999998,17.452199999999998,15.5724,9.332399999999998,8.3298,9.3348,15.467400000000001,21.615000000000002,22.027199999999993,17.284799999999997,12.891,7.762199999999999,6.370199999999999
zone-010,5.651999999999999,5.5668,8.967,8.9904,7.000199999999999,13.8534,33.178799999999995,58.4448,155.34240000000003,181.5312,179.7972,263.15340000000003,354.44700000000006,258.96059999999994,106.3038,97.4868,54.12659999999999,28.373400000000004,85.43520000000001,85.07099999999998,199.1916,313.7016,69.3204,67.80839999999999
zone-011,37.9068,22.939799999999995,20.0022,20.027400000000004,18.1842,165.8226,433.992,357.92279999999994,306.6834,247.59360000000004,221.53500000000003,203.30999999999997,283.29540000000003,258.2298,165.25019999999998,142.9038,154.9536,247.9812,341.3796,345.9204,268.4418,195.34140000000002,109.28219999999999,83.62559999999999
zone-012,12.2982,9.5886,13.021799999999999,13.054800000000004,10.411200000000001,46.125,119.63399999999999,96.85199999999998,79.9986,60.86999999999999,53.7222,50.1396,74.5848,66.3714,38.376599999999996,33.7518,38.395799999999994,66.2832,93.318,94.6944,73.64099999999999,53.8374,30.519599999999997,23.675399999999996
zone-013,498.7073999999996,496.2270000000001,511.4111999999998,511.5294000000002,502.55519999999996,565.644,865.6386000000002,769.3134000000002,800.0753999999996,784.6175999999998,791.0717999999997,837.3671999999995,939.9648000000002,848.6609999999997,722.2571999999999,723.6503999999998,731.5164000000001,770.7594000000008,813.0726,737.0699999999999,751.5360000000001,791.7761999999999,645.2771999999998,606.3197999999999
zone-014,4.3974,3.7914000000000003,3.774,3.7847999999999997,3.7265999999999995,13.2954,33.903,58.79879999999999,80.079,74.3856,72.2196,99.05459999999998,105.744,103.3038,67.5552,66.24719999999999,95.4198,158.859,110.81219999999999,83.4768,20.8182,15.3222,8.907,7.0716
zone-015,5.373,5.186999999999999,7.742399999999999,7.759799999999999,6.1044,16.4592,42.093599999999995,34.0794,28.1466,21.446399999999997,18.9504,17.697,26.124,23.269799999999996,13.6266,12.0498,13.633199999999999,23.2128,32.5968,33.111599999999996,25.8174,18.9948,10.9986,8.710799999999999
zone-016,50.2932,47.04179999999999,52.035599999999995,52.090799999999994,48.38579999999999,98.4978,199.9296,182.9046,170.07539999999997,162.63720000000004,152.06219999999996,133.6494,130.6512,148.45919999999998,129.4338,114.2802,107.97240000000001,127.34460000000001,162.78959999999998,164.0772,141.9672,111.477,83.9952,65.89320000000001
zone-017,32.976,20.860800000000005,21.383400000000005,21.415200000000002,17.638799999999996,140.718,367.6992,297.78839999999997,246.14159999999998,187.2972,165.2568,154.2168,230.36580000000004,204.87480000000002,117.6918,103.20299999999999,117.7038,204.68519999999998,288.43860000000006,292.365,226.9776,165.3138,92.6712,71.0598
zone-018,50.60280000000001,41.6814,46.60679999999999,46.72079999999999,43.17719999999998,178.51559999999995,461.1894,380.64959999999996,319.9698000000001,251.4648,223.88399999999996,204.9216,294.08699999999993,267.2988,164.68739999999997,146.96639999999996,154.77179999999998,256.0386,360.0462,365.2362,284.17799999999994,208.01339999999993,118.68359999999998,92.6238
zone-019,29.397,24.709199999999996,38.419200000000004,38.497800000000005,29.1558,105.9498,274.12080000000003,236.0142,209.1168,170.98739999999998,154.4412,150.20099999999996,199.89900000000003,184.26600000000002,118.94999999999999,105.74339999999998,119.80380000000001,192.22140000000002,236.16419999999997,232.13459999999992,168.25559999999996,123.16619999999999,70.06200000000001,54.53939999999999
zone-020,604.5942,603.5172,603.2225999999999,603.2352,603.1704,617.9208,885.5286,842.3424000000001,920.7101999999999,939.9768,969.0491999999999,990.9935999999999,999.2034000000001,973.6758000000001,963.7524000000001,986.5769999999998,1016.4438,1057.0632,969.2267999999999,830.5511999999999,732.9245999999999,728.0622000000001,745.0235999999999,688.9752
zone-021,7.930799999999999,8.857199999999999,12.120600000000003,12.156599999999997,10.858800000000002,20.041199999999996,50.36039999999999,40.77119999999999,33.65579999999999,25.677,22.714799999999997,21.221399999999996,31.013999999999996,27.664199999999997,16.4544,14.646600000000001,16.468799999999998,27.5544,38.565,39.2364,30.711000000000002,22.779,13.540799999999999,10.983000000000004
zone-022,88.34399999999998,87.28320000000002,99.92280000000002,100.0104,92.04539999999999,135.6438,270.6323999999999,230.61600000000013,246.1728,219.67560000000006,212.46900000000008,259.80480000000006,351.50759999999997,280.9314000000001,157.7088,153.7139999999999,162.10380000000006,202.68480000000008,263.43600000000004,251.7714,270.64799999999997,298.15500000000003,155.12699999999992,139.54500000000004
zone-023,1883.247,1876.7442,1882.1334000000002,1882.1807999999999,1876.9686000000002,1965.1799999999996,2886.4482,2595.0090000000005,2729.6705999999995,2768.373,2844.643199999999,2818.4886,2878.4862000000003,2785.0686000000005,2812.3421999999996,2878.8617999999997,2887.7591999999995,2860.2696000000005,2820.9564000000005,2487.2147999999993,2359.1154,2317.7837999999997,2342.595,2159.9628000000002
zone-024,82.69620000000002,50.5842,49.6116,49.67579999999999,41.81340000000001,359.89619999999996,941.5067999999999,772.9889999999999,651.2136,512.4276,455.8331999999999,419.8218,603.5262,545.5487999999999,333.65160000000003,292.1508,318.59459999999996,530.028,739.6055999999999,749.5883999999999,581.7894,423.5058,237.04080000000002,181.4778
zone-025,58.305600000000005,49.452000000000005,75.44939999999997,75.61020000000002,57.52439999999999,204.11460000000008,526.9469999999999,435.3774,417.66179999999997,340.69619999999986,309.3911999999999,364.7088,545.5146,432.5706,193.80780000000004,171.4278,181.9146,295.34039999999993,451.8629999999999,457.48919999999987,447.8436,444.6785999999999,176.81340000000003,147.20699999999997
zone-026,65.99340000000001,41.06940000000001,37.7016,37.758,33.6972,283.53180000000003,741.2520000000001,602.4911999999999,499.2144,380.76,336.2988,314.8674,468.42,417.0288,240.28320000000002,210.92399999999998,241.02960000000004,418.4658,585.3191999999999,592.2546,457.91040000000004,333.4068,186.7962,143.1528
zone-027,0.66,0.5094,0.9299999999999999,0.9318,0.5993999999999999,2.5589999999999997,6.6516,5.3838,4.4472,3.3834,2.9856,2.7864,4.1514,3.693,2.1317999999999997,1.8738000000000001,2.133,3.69,5.1983999999999995,5.2752,4.1004,2.9952,1.6926,1.3086
zone-028,0.20220000000000002,0.2586,0.2364,0.237,0.24599999999999997,0.336,0.8034,0.6534,0.5418,0.41819999999999996,0.3726,0.3504,0.49859999999999993,0.447,0.279,0.2532,0.2796,0.4452,0.6156,0.6264,0.49499999999999994,0.375,0.24,0.20759999999999998
zone-029,4.596,2.7935999999999996,2.412,2.4143999999999997,2.1672,20.0946,52.577999999999996,42.5952,35.22239999999999,26.811,23.6586,22.08,33.0084,29.3544,16.845,14.763599999999999,16.8432,29.330399999999997,41.328599999999994,41.8716,32.496,23.6466,13.230599999999999,10.124400000000001
zone-030,78.07860000000001,52.437599999999996,59.178599999999996,59.2746,48.165600000000005,324.588,847.1123999999998,692.5914,578.2524,448.0986000000001,397.29600000000005,366.42299999999994,536.1677999999999,482.82359999999994,287.74679999999995,254.47920000000005,277.0728,471.27900000000005,664.0062,673.1508,522.7266000000001,380.94960000000003,213.9768,164.424
