id,name,height,grid_id,zone_id
4774,B04774,6.0,537,224
4775,B04775,6.0,537,224
4776,B04776,6.0,574,254
4777,B04777,6.0,907,504
4778,B04778,6.0,463,168
4779,B04779,6.0,611,282
4780,B04780,6.0,685,337
4781,B04781,6.0,611,282
4782,B04782,6.0,611,282
4783,B04783,6.0,500,195
4784,B04784,6.0,611,282
4785,B04785,6.0,574,254
4786,B04786,6.0,759,393
4787,B04787,6.0,685,337
4788,B04788,6.0,907,504
4789,B04789,6.0,685,337
4790,B04790,6.0,685,337
4791,B04791,6.0,648,309
4792,B04792,6.0,611,282
4793,B04793,6.0,796,419
4794,B04794,6.0,611,282
4795,B04795,6.0,574,254
4796,B04796,6.0,463,168
4797,B04797,6.0,574,254
4798,B04798,6.0,685,337
4799,B04799,6.0,426,138
4800,B04800,6.0,722,366
4801,B04801,6.0,426,138
4802,B04802,6.0,1536,799
4803,B04803,6.0,685,337
4804,B04804,6.0,796,419
4805,B04805,6.0,833,447
4806,B04806,6.0,611,282
4807,B04807,6.0,426,138
4808,B04808,6.0,722,366
4809,B04809,6.0,463,168
4810,B04810,6.0,685,337
4811,B04811,6.0,537,224
4812,B04812,6.0,648,309
4813,B04813,6.0,463,168
4814,B04814,6.0,537,224
4815,B04815,6.0,574,254
4816,B04816,6.0,537,224
4817,B04817,6.0,463,168
4818,B04818,6.0,611,282
4819,B04819,6.0,611,282
4820,B04820,6.0,537,224
4821,B04821,6.0,907,504
4822,B04822,6.0,722,366
4823,B04823,6.0,426,138
4824,B04824,6.0,463,168
4825,B04825,6.0,610,281
4826,B04826,6.0,795,418
4827,B04827,6.0,944,528
4828,B04828,6.0,462,167
4829,B04829,6.0,833,447
4830,B04830,6.0,907,504
4831,B04831,6.0,832,446
4832,B04832,6.0,610,281
4833,B04833,6.0,795,418
4834,B04834,6.0,832,446
4835,B04835,6.0,610,281
4836,B04836,6.0,795,418
4837,B04837,6.0,795,418
4838,B04838,6.0,722,366
4839,B04839,6.0,425,137
4840,B04840,6.0,573,253
4841,B04841,6.0,425,137
4842,B04842,6.0,832,446
4843,B04843,6.0,759,393
4844,B04844,6.0,462,167
4845,B04845,6.0,425,137
4846,B04846,6.0,943,527
4847,B04847,6.0,573,253
4848,B04848,6.0,462,167
4849,B04849,6.0,425,137
4850,B04850,6.0,647,308
4851,B04851,6.0,832,446
4852,B04852,6.0,425,137
4853,B04853,6.0,759,393
4854,B04854,6.0,722,366
4855,B04855,6.0,795,418
4856,B04856,6.0,462,167
4857,B04857,6.0,574,254
4858,B04858,6.0,500,195
4859,B04859,6.0,647,308
4860,B04860,6.0,869,473
4861,B04861,6.0,425,137
4862,B04862,6.0,499,194
4863,B04863,6.0,832,446
4864,B04864,6.0,721,365
4865,B04865,6.0,573,253
4866,B04866,6.0,758,392
4867,B04867,6.0,425,137
4868,B04868,6.0,425,137
4869,B04869,6.0,758,392
4870,B04870,6.0,499,194
4871,B04871,6.0,1535,798
4872,B04872,6.0,425,137
4873,B04873,6.0,425,137
4874,B04874,6.0,462,167
4875,B04875,6.0,795,418
4876,B04876,6.0,1572,811
4877,B04877,6.0,573,253
4878,B04878,6.0,462,167
4879,B04879,6.0,573,253
4880,B04880,6.0,425,137
4881,B04881,6.0,536,223
4882,B04882,6.0,758,392
4883,B04883,6.0,684,336
4884,B04884,6.0,610,281
4885,B04885,6.0,684,336
4886,B04886,6.0,573,253
4887,B04887,6.0,462,167
4888,B04888,6.0,795,418
4889,B04889,6.0,684,336
4890,B04890,6.0,425,137
4891,B04891,6.0,536,223
4892,B04892,6.0,425,137
4893,B04893,6.0,1572,811
4894,B04894,6.0,795,418
4895,B04895,6.0,499,194
4896,B04896,6.0,647,308
4897,B04897,6.0,536,223
4898,B04898,6.0,462,167
4899,B04899,6.0,536,223
4900,B04900,6.0,869,473
4901,B04901,6.0,536,223
4902,B04902,6.0,869,473
4903,B04903,6.0,425,137
4904,B04904,6.0,721,365
4905,B04905,6.0,499,194
4906,B04906,6.0,684,336
4907,B04907,6.0,795,418
4908,B04908,6.0,462,167
