id,name,x,y
1,B00001,120.4199433815759,31.45338952625219
2,B00002,120.45908924205466,31.4532557343391
3,B00003,120.45804190111996,31.45329991919897
4,B00004,120.46027780077755,31.453899629421116
5,B00005,120.4621383291094,31.45383149254765
6,B00006,120.46013480451272,31.454010142602765
7,B00007,120.46069322767877,31.45401328913314
8,B00008,120.46025216507445,31.454206208960738
9,B00009,120.43070504127769,31.4541610925172
10,B00010,120.41912905120913,31.45416801119065
11,B00011,120.46220428867258,31.45429588845858
12,B00012,120.45846367609317,31.454259128794497
13,B00013,120.45487819587083,31.454515445922425
14,B00014,120.45330622357295,31.45463945529025
15,B00015,120.45253708544932,31.454695172549872
16,B00016,120.44341996889278,31.454422132331825
17,B00017,120.44300321709433,31.454700905684703
18,B00018,120.46197153155663,31.454949243219655
19,B00019,120.4495316696307,31.455075528133914
20,B00020,120.44504690536235,31.455160673786395
21,B00021,120.4486178889714,31.45508853829763
22,B00022,120.43388919355175,31.45528099522789
23,B00023,120.45130085628884,31.454998024236087
24,B00024,120.46259054093973,31.455229889370603
25,B00025,120.45931448184885,31.455355050654475
26,B00026,120.46009686823126,31.455492222397005
27,B00027,120.45830261506372,31.455546961303046
28,B00028,120.463746155717,31.455783576977435
29,B00029,120.4647707775011,31.455714257635133
30,B00030,120.4188046552167,31.455787869758467
31,B00031,120.45722967852869,31.455627355355947
32,B00032,120.44761928458921,31.455867776087274
33,B00033,120.44627139593211,31.455565091357936
34,B00034,120.46038753941289,31.456038980723505
35,B00035,120.44355056287672,31.455755802435295
36,B00036,120.45441657272544,31.455995079266362
37,B00037,120.45770838402558,31.45622772972656
38,B00038,120.46100441854526,31.456112259545925
39,B00039,120.45211201692707,31.456303099917854
40,B00040,120.46538854937955,31.455916015772324
41,B00041,120.45112900817948,31.456334722133942
42,B00042,120.46009717187422,31.45625650381638
43,B00043,120.46385774818687,31.456196033511
44,B00044,120.45756248477251,31.456536643202007
45,B00045,120.4463334674878,31.456387387798298
46,B00046,120.45379285572685,31.45670063985534
47,B00047,120.45160404156466,31.456713413118294
48,B00048,120.44253101627649,31.456204964376003
49,B00049,120.44563994049798,31.456801350815656
50,B00050,120.45263002019077,31.456830029673544
51,B00051,120.44505289720375,31.4566083221221
52,B00052,120.42655960588262,31.457096857437953
53,B00053,120.44577720661717,31.457430753327614
54,B00054,120.42032481587923,31.457557782369083
55,B00055,120.44479766231944,31.45775303945749
56,B00056,120.45281373327009,31.457785742923434
57,B00057,120.45727073554754,31.458035081819983
58,B00058,120.42681924957392,31.458032177578243
59,B00059,120.46398431381374,31.458141101962017
60,B00060,120.45263715831233,31.458303090136805
61,B00061,120.42811920827323,31.45756807404677
62,B00062,120.44676613371223,31.458483389172486
63,B00063,120.4643750568329,31.458742255325188
64,B00064,120.44598602899691,31.458756928387608
65,B00065,120.45450579345798,31.458747185584482
66,B00066,120.43985367294623,31.45875831175073
67,B00067,120.44464729890406,31.45883460930105
68,B00068,120.44429406348596,31.45892543547299
69,B00069,120.46381721152811,31.458868379589276
70,B00070,120.43815560136024,31.458978326393503
71,B00071,120.41915106532275,31.459217072594296
72,B00072,120.42632247203031,31.459138406782724
73,B00073,120.45894615454391,31.45947117576614
74,B00074,120.4470631176664,31.45946850859574
75,B00075,120.44846961135771,31.45942939702473
76,B00076,120.4192548646257,31.45954988926664
77,B00077,120.42593495512746,31.45949480315945
78,B00078,120.4545540150074,31.45997193834943
79,B00079,120.42960105631673,31.459957595606184
80,B00080,120.42552863382387,31.459875377319626
81,B00081,120.45128989134172,31.460280252727912
82,B00082,120.44234675168484,31.46000105742788
83,B00083,120.4131218413748,31.460316705903637
84,B00084,120.44870017803345,31.460301794754464
85,B00085,120.44074213621612,31.460418808849916
86,B00086,120.44708065795278,31.460452802195416
87,B00087,120.41653308038859,31.460452211891415
88,B00088,120.43539323099877,31.46048410192401
89,B00089,120.4559140219342,31.46054917564223
90,B00090,120.44669476124785,31.46019282998076
91,B00091,120.42494175961245,31.460356904382017
92,B00092,120.42335692373582,31.4596862366471
93,B00093,120.42866547818264,31.460605508216894
94,B00094,120.44186226099578,31.46090216481863
95,B00095,120.45442205873596,31.460876978976863
96,B00096,120.44329294778247,31.460900875947853
97,B00097,120.41294027544784,31.46099512791672
98,B00098,120.44725073576075,31.46147358846179
99,B00099,120.41564920645384,31.461516218393886
100,B00100,120.42378953813828,31.461436649714454
101,B00101,120.4408499782091,31.461808812873297
102,B00102,120.4255987417177,31.461555049902483
103,B00103,120.4375934170544,31.46157431105846
104,B00104,120.44733518362112,31.46192802816443
105,B00105,120.45586795247728,31.462042030095255
106,B00106,120.4494026552732,31.46180347523909
107,B00107,120.41299357460623,31.462241469464704
108,B00108,120.4547542033077,31.462258413449685
109,B00109,120.43594713510878,31.461961030215257
110,B00110,120.4474248675429,31.462425294503337
