id,name,standard
246,B00246,STANDARD2
247,B00247,STANDARD4
248,B00248,STANDARD1
249,B00249,STANDARD1
250,B00250,STANDARD1
251,B00251,STANDARD1
252,B00252,STANDARD1
253,B00253,STANDARD2
254,B00254,STANDARD1
255,B00255,STANDARD1
256,B00256,STANDARD1
257,B00257,STANDARD2
258,B00258,STANDARD2
259,B00259,STANDARD1
260,B00260,STANDARD2
261,B00261,STANDARD1
262,B00262,STANDARD1
263,B00263,STANDARD2
264,B00264,STANDARD2
265,B00265,STANDARD5
266,B00266,STANDARD2
267,B00267,STANDARD1
268,B00268,STANDARD2
269,B00269,STANDARD1
270,B00270,STANDARD1
271,B00271,STANDARD2
272,B00272,STANDARD1
273,B00273,STANDARD1
274,B00274,STANDARD1
275,B00275,STANDARD1
276,B00276,STANDARD2
277,B00277,STANDARD1
278,B00278,STANDARD1
279,B00279,STANDARD1
280,B00280,STANDARD1
281,B00281,STANDARD5
282,B00282,STANDARD2
283,B00283,STANDARD1
284,B00284,STANDARD1
285,B00285,STANDARD1
286,B00286,STANDARD1
287,B00287,STANDARD2
288,B00288,STANDARD1
289,B00289,STANDARD1
290,B00290,STANDARD1
291,B00291,STANDARD1
292,B00292,STANDARD1
293,B00293,STANDARD1
294,B00294,STANDARD1
295,B00295,STANDARD1
296,B00296,STANDARD1
297,B00297,STANDARD1
298,B00298,STANDARD1
299,B00299,STANDARD1
300,B00300,STANDARD1
301,B00301,STANDARD1
302,B00302,STANDARD1
303,B00303,STANDARD5
304,B00304,STANDARD1
305,B00305,STANDARD1
306,B00306,STANDARD1
307,B00307,STANDARD1
308,B00308,STANDARD1
309,B00309,STANDARD1
310,B00310,STANDARD1
311,B00311,STANDARD1
312,B00312,STANDARD2
313,B00313,STANDARD1
314,B00314,STANDARD1
315,B00315,STANDARD1
316,B00316,STANDARD1
317,B00317,STANDARD1
318,B00318,STANDARD2
319,B00319,STANDARD1
320,B00320,STANDARD2
321,B00321,STANDARD1
322,B00322,STANDARD1
323,B00323,STANDARD1
324,B00324,STANDARD1
325,B00325,STANDARD2
326,B00326,STANDARD2
327,B00327,STANDARD2
328,B00328,STANDARD1
329,B00329,STANDARD2
330,B00330,STANDARD1
331,B00331,STANDARD1
332,B00332,STANDARD1
333,B00333,STANDARD1
334,B00334,STANDARD1
335,B00335,STANDARD1
336,B00336,STANDARD1
337,B00337,STANDARD4
338,B00338,STANDARD5
339,B00339,STANDARD1
340,B00340,STANDARD1
341,B00341,STANDARD1
342,B00342,STANDARD4
343,B00343,STANDARD1
344,B00344,STANDARD2
345,B00345,STANDARD1
346,B00346,STANDARD1
347,B00347,STANDARD1
348,B00348,STANDARD1
349,B00349,STANDARD2
350,B00350,STANDARD1
351,B00351,STANDARD2
352,B00352,STANDARD1
353,B00353,STANDARD1
354,B00354,STANDARD1
355,B00355,STANDARD1
356,B00356,STANDARD4
357,B00357,STANDARD1
358,B00358,STANDARD1
359,B00359,STANDARD1
360,B00360,STANDARD2
361,B00361,STANDARD1
362,B00362,STANDARD1
363,B00363,STANDARD1
364,B00364,STANDARD1
365,B00365,STANDARD1
366,B00366,STANDARD1
367,B00367,STANDARD1
368,B00368,STANDARD1
369,B00369,STANDARD1
370,B00370,STANDARD1
371,B00371,STANDARD1
372,B00372,STANDARD1
373,B00373,STANDARD1
374,B00374,STANDARD1
375,B00375,STANDARD1
376,B00376,STANDARD3
377,B00377,STANDARD2
378,B00378,STANDARD2
379,B00379,STANDARD1
380,B00380,STANDARD3
381,B00381,STANDARD1
382,B00382,STANDARD3
383,B00383,STANDARD1
384,B00384,STANDARD1
385,B00385,STANDARD1
386,B00386,STANDARD1
387,B00387,STANDARD1
388,B00388,STANDARD1
389,B00389,STANDARD1
390,B00390,STANDARD5
391,B00391,STANDARD1
392,B00392,STANDARD3
393,B00393,STANDARD2
394,B00394,STANDARD1
395,B00395,STANDARD1
396,B00396,STANDARD1
397,B00397,STANDARD2
398,B00398,STANDARD1
399,B00399,STANDARD1
400,B00400,STANDARD1
401,B00401,STANDARD1
402,B00402,STANDARD1
403,B00403,STANDARD1
404,B00404,STANDARD1
405,B00405,STANDARD1
406,B00406,STANDARD5
407,B00407,STANDARD1
408,B00408,STANDARD1
409,B00409,STANDARD1
410,B00410,STANDARD1
411,B00411,STANDARD2
412,B00412,STANDARD1
413,B00413,STANDARD3
414,B00414,STANDARD1
415,B00415,STANDARD1
416,B00416,STANDARD1
417,B00417,STANDARD1
418,B00418,STANDARD3
419,B00419,STANDARD1
420,B00420,STANDARD1
421,B00421,STANDARD4
