id,name,x,y,height,floor_area,perimeter
15862,B15862,120.36679097771876,31.52439566723115,9.0,4808.037039369345,279.83198604456487
15863,B15863,120.35684998229493,31.52485362227874,9.0,141.2548953257965,62.04464819575976
15864,B15864,120.35542215299539,31.5247578439116,9.0,2357.301339102909,219.43895931400323
15865,B15865,120.36957190401148,31.524903634486552,9.0,39.9209210164845,26.123118783041136
15866,B15866,120.36968607901377,31.524969033607796,9.0,140.19328951090574,47.91412752982789
15867,B15867,120.38012250220214,31.524441525036696,9.0,8119.222739834338,497.49269416928473
15868,B15868,120.37411282107725,31.52406640136422,9.0,16990.512913497165,680.197285061734
15869,B15869,120.35677706785363,31.525047854564285,9.0,506.00063412671807,99.48725310354898
15870,B15870,120.35536827735037,31.525124661096235,9.0,2033.7676760526374,213.0377984213732
15871,B15871,120.35802362628355,31.525280159266934,9.0,150.11832344581853,52.240466332664816
15872,B15872,120.3958248150759,31.52527977822979,9.0,373.7541277051205,88.6345674049525
15873,B15873,120.36094236077416,31.525144293840658,9.0,3133.8323616106063,249.72477762992727
15874,B15874,120.39646645867725,31.52503919449626,9.0,5729.915900561959,332.1751827469015
15875,B15875,120.35678615659748,31.5253853473526,9.0,184.1833319557254,56.68747202820943
15876,B15876,120.3571284307727,31.525348685718196,9.0,1047.9255943207008,149.36272743667848
15877,B15877,120.35828204704238,31.52529996408217,9.0,756.6967326197773,121.97283056276869
15878,B15878,120.39748903789167,31.525286535445556,9.0,4569.453795619309,365.9125328437863
15879,B15879,120.35266758056827,31.525262571534657,9.0,2446.689025938511,200.7807021191458
15880,B15880,120.35715951817797,31.52556330800522,9.0,1627.460130721849,191.12458548322445
15881,B15881,120.36551048175043,31.52551901880958,9.0,956.7626393958926,129.99522252726854
15882,B15882,120.35170470556749,31.52540947431414,9.0,2403.936049848795,199.41824334708454
15883,B15883,120.36072006930887,31.525582790981144,9.0,1912.9544640034437,180.7108523070766
15884,B15884,120.39111899088427,31.525458813873836,9.0,3089.1077109873295,238.5411763872667
15885,B15885,120.35539217480925,31.52582029409872,9.0,1610.1593279174995,178.5539628090691
15886,B15886,120.35808160704528,31.52569267395338,9.0,2023.7376660204027,185.01968781929213
15887,B15887,120.35318116480713,31.525649070074955,9.0,2383.33225633204,198.01689153969917
15888,B15888,120.39573465937704,31.525741416923417,9.0,2209.02488797158,197.06588392794717
15889,B15889,120.36565832713598,31.525814601786447,9.0,958.3103227410465,137.3431024807957
15890,B15890,120.35213102098488,31.5257320731196,9.0,2406.779081657529,198.9704646403329
15891,B15891,120.35926274520848,31.525848910325344,9.0,4274.64676174894,272.18146864290145
15892,B15892,120.39634179036051,31.52581021005189,9.0,2761.542737774551,236.42978002069987
15893,B15893,120.37619220634323,31.525737941666744,9.0,3530.3455853164196,237.69103854144126
15894,B15894,120.35812409904543,31.526035875823972,9.0,307.57282268314157,72.103793550191
