zone_id,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
zone-001,182.12339999999998,206.59199999999998,209.08739999999995,258.5274,278.27879999999993,257.7192,732.2016,783.1614,782.0124,750.0989999999999,707.7863999999998,665.079,562.4627999999999,589.248,573.0162,557.2650000000002,567.1512,559.7807999999999,537.4919999999998,486.768,530.6628000000001,84.37079999999999,96.19980000000005,117.144
zone-002,186.57299999999998,209.61119999999997,210.77220000000003,259.6379999999999,281.02259999999995,260.59619999999995,785.3628000000001,842.4305999999999,843.4787999999999,807.9053999999999,762.0846,717.6444,607.3548000000001,634.3247999999999,615.408,597.1980000000001,607.8636,601.1940000000002,578.9087999999998,521.9286000000001,567.1926,95.95019999999998,105.56879999999998,122.4474
zone-003,110.3286,125.97359999999999,126.075,155.943,168.0822,157.31939999999997,424.28459999999995,451.7694,449.5452,432.66779999999994,408.051,381.6174,323.09220000000005,338.457,329.0766,319.7034,322.5336,316.78679999999997,304.10519999999997,274.91220000000004,299.6328,34.7232,45.78119999999999,65.2836
zone-004,109.05899999999998,126.01500000000001,126.66,158.73659999999998,172.3002,161.40060000000003,477.52019999999993,509.03460000000007,507.1728,485.2607999999999,457.7112,429.96779999999995,363.1968,380.6154,370.6254,360.6168,365.65439999999995,359.9436,345.1488,311.7714,339.80879999999996,44.463000000000015,50.71199999999999,62.67359999999999
zone-005,214.74839999999998,239.6124,241.89779999999993,294.59040000000005,315.993,294.5345999999999,794.0171999999998,852.7385999999997,857.1449999999996,821.8476,775.2048000000002,733.3373999999998,627.5363999999998,649.8636,627.5052000000002,610.9098,626.0873999999997,626.3442000000001,604.3901999999998,544.8828,577.4981999999999,118.851,130.8744,149.8758
zone-006,160.4418,207.7092,212.8812,307.6805999999999,349.965,324.22739999999993,1374.6804000000002,1494.2622,1506.6552,1440.8550000000002,1356.8682,1279.4544,1058.5416,1118.4678,1086.8310000000001,1051.26,1070.8194,1056.336,994.5024000000002,882.5459999999999,972.6834000000001,93.9654,90.843,94.09079999999999
zone-007,23.1444,25.9836,26.300999999999995,33.340199999999996,35.739,32.062799999999996,117.52619999999999,128.18939999999998,128.5914,122.27699999999999,114.4062,106.7466,86.64659999999999,92.68079999999999,90.0732,87.05279999999999,88.84859999999999,87.61499999999998,82.53359999999999,72.85979999999999,82.23960000000001,12.7638,14.282999999999998,16.2576
zone-008,29.8578,34.349399999999996,34.891799999999996,46.971,52.03380000000001,47.25659999999999,222.4848,242.58599999999998,245.48399999999998,235.68899999999996,223.6272,212.466,178.08419999999998,188.36939999999998,184.12919999999997,178.78379999999999,181.86780000000002,179.65799999999996,169.8756,152.5992,167.72160000000002,20.297400000000003,20.7816,21.246599999999994
zone-009,59.74680000000001,66.40019999999998,66.8772,81.2634,86.49060000000001,79.48440000000001,204.10139999999998,217.26600000000002,216.2124,206.6514,193.797,180.9012,153.4038,159.23999999999998,153.77280000000005,149.34720000000002,152.08379999999997,150.50400000000002,146.97779999999997,132.32999999999998,142.5804,26.202599999999997,31.187999999999995,39.389399999999995
zone-010,39.910199999999996,46.605599999999995,47.10239999999999,62.709,69.5772,63.35999999999999,215.3976,252.19260000000003,614.3070000000001,586.6572,555.3173999999999,780.7553999999999,1026.5316,707.8848,173.78340000000003,167.47679999999997,172.0134,173.313,451.43219999999997,424.55279999999993,717.8412,893.0867999999999,279.0852,289.72559999999993
zone-011,128.8098,190.13400000000001,190.55220000000003,311.8458,374.538,370.52399999999994,2747.5806000000002,3052.7670000000003,3104.7156,2983.3242,2816.3076,2649.6425999999997,2120.8217999999997,2306.0640000000003,2257.8402,2168.457,2193.1296,2148.8309999999997,1954.9722,1707.5819999999999,1966.3662,165.72539999999998,137.7708,90.7368
zone-012,43.391999999999996,71.6286,73.99680000000001,120.4506,142.6008,134.08859999999999,764.9615999999999,843.5892,851.0801999999999,811.7231999999999,760.9097999999999,711.3365999999999,563.7324,612.6654000000001,597.1073999999999,572.298,580.7646,569.1822,518.8961999999999,450.51599999999996,522.2687999999999,50.22,44.077799999999996,33.6348
zone-013,869.7293999999998,919.5630000000003,911.5596000000002,1027.4190000000003,1078.9362000000003,1037.3286,2260.3686000000002,2580.5891999999994,2754.768,2685.9996,2553.0323999999987,2261.0208000000002,2114.9046000000003,1995.4643999999996,1625.4521999999997,1577.4647999999997,1600.4927999999998,1632.8171999999997,1675.3428,1475.5091999999995,1708.6812,875.4257999999994,590.9177999999998,612.159
zone-014,28.679399999999994,31.2546,30.6138,47.4846,56.7444,53.4492,235.476,376.83299999999997,383.36760000000004,348.85260000000005,313.30740000000003,323.1468,274.9758,274.9656,239.3742,232.47599999999997,264.0858,320.2614,248.8698,199.2348,156.45059999999998,22.668,22.873799999999996,23.113799999999998
zone-015,43.346399999999996,54.006,55.76220000000001,78.3444,88.6158,82.24439999999998,318.99,344.2014,345.54839999999996,330.8832,312.7356,295.293,247.25940000000003,261.24359999999996,255.6048,248.41979999999998,251.98259999999996,247.94579999999996,234.73440000000005,210.99540000000002,231.87239999999997,28.5324,28.891799999999996,30.6138
zone-016,294.3708,333.3654,330.86339999999996,406.6986,439.84260000000006,419.5302,1313.3142,1511.4396000000002,1515.7872,1474.6776000000002,1387.614,1285.935,1001.8230000000001,1132.2990000000002,1106.9034,1070.9405999999997,1075.272,1051.2413999999999,1000.2036,881.6694,997.0433999999999,251.44799999999998,265.8918,215.7552
