zone_id,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
zone-001,149.4646,165.77699999999996,167.4395999999999,200.39659999999986,213.56419999999994,221.3818,667.1234000000003,571.9816,549.7086000000002,528.4330000000003,500.2196000000001,471.75200000000024,553.9871999999999,442.71199999999993,410.3618,399.85799999999995,406.45180000000005,423.0672000000002,537.3439999999999,546.562,403.64119999999997,105.41319999999999,113.4212,106.013
zone-002,154.82699999999997,170.1858,170.95579999999995,203.64300000000003,217.89940000000004,227.62279999999993,717.9572,615.9923999999999,593.3732,569.6556,539.1054,509.48060000000004,599.3181999999999,477.2611999999999,441.30500000000006,429.1590000000001,436.2754,455.1749999999999,580.3612,589.0314000000001,432.49139999999994,117.31279999999997,123.87619999999997,111.91259999999996
zone-003,92.08740000000002,102.51740000000001,102.58399999999999,122.49500000000003,130.58780000000002,135.9146,388.94340000000005,332.2656,318.29380000000003,307.04220000000004,290.628,273.0086,321.49480000000005,256.727,237.9724,231.71960000000004,233.6104,242.28119999999996,308.8408,314.3758,230.84119999999996,53.95380000000001,61.4948,62.0604
zone-004,91.24799999999999,102.55200000000002,102.98,124.38340000000002,133.4258,140.36239999999998,436.42080000000004,372.23940000000005,356.8092,342.2002,323.8318,305.3382000000001,360.2202000000001,286.62960000000004,265.7676,259.0942,262.45360000000005,272.84940000000006,348.19219999999996,354.3326,259.4202000000001,62.055,66.251,60.11440000000001
zone-005,240.91559999999998,257.5846000000001,259.1032,294.2305999999999,308.53999999999996,316.26340000000005,781.7478000000006,1010.8754000000002,991.7890000000003,968.2574000000001,937.1572000000002,909.2526,993.0046000000002,875.6354000000001,838.6798000000003,827.6102000000005,837.7376000000002,859.9608000000004,977.5797999999998,981.9812000000002,505.1608000000001,198.60099999999997,206.80060000000003,197.52819999999997
zone-006,207.01020000000008,239.14180000000005,242.5858,305.93539999999985,334.125,364.7156,1351.9265999999998,1261.2518000000005,1221.8178,1177.9509999999998,1121.9518,1070.3476000000003,1257.2184000000002,1010.7382000000002,941.894,918.1660000000002,931.2206000000002,969.3220000000001,1214.5416,1235.345,797.5316,208.76859999999994,207.082,161.6482
zone-007,20.262600000000003,22.1704,22.381,27.0738,28.673000000000002,29.9892,109.85280000000002,94.38159999999999,90.88860000000001,86.679,81.43180000000001,76.3254,89.27040000000001,70.70920000000001,65.2078,63.19420000000001,64.3914,67.332,86.5284,87.60619999999999,63.748400000000004,17.097200000000004,18.109,15.660400000000003
zone-008,29.755200000000002,32.8216,33.18319999999999,41.277,44.6522,49.19140000000001,212.51420000000002,179.567,173.78000000000003,167.25000000000003,159.2088,151.76800000000003,182.92079999999999,143.4256,132.8728,129.3052,131.36520000000002,137.618,177.4494,181.3788,129.6554,31.063599999999997,31.385399999999997,23.9694
zone-009,47.04519999999999,51.480799999999995,51.797799999999995,61.386599999999994,64.90440000000001,65.7136,181.9946,157.71300000000002,151.50159999999997,145.12759999999997,136.558,127.96079999999998,148.20420000000001,119.03000000000004,109.87320000000001,106.92280000000001,108.74719999999998,113.20600000000003,143.92120000000003,145.175,107.92260000000002,30.146400000000007,33.516,33.47460000000001
zone-010,195.59280000000004,200.04440000000002,200.37460000000002,210.84,215.4188,218.13000000000002,360.7614,356.7554,611.695,592.6468,571.6506,734.0505999999999,970.0424,716.3771999999999,297.3156,293.1102,296.1356,303.9650000000001,550.6967999999999,547.1012,687.0767999999999,827.5542,405.84380000000004,382.05840000000006
zone-011,319.0532,361.35400000000004,361.7448,442.5862,484.3810000000001,607.163,2947.4354,2398.614,2308.0374,2227.1068,2115.7104,2004.6354,2529.9012000000002,1900.8889999999994,1743.2618,1683.604,1700.1214,1796.079,2419.4018,2505.163,1674.2807999999998,467.02059999999994,448.3682,291.6002
zone-012,70.251,89.19139999999999,90.7662,121.7484,136.5152,162.77140000000003,775.8224,636.7798,609.9078000000001,583.6658,549.7801999999999,516.7384,641.7515999999999,482.85060000000004,440.54359999999997,423.98199999999997,429.6484,453.86480000000006,611.8797999999999,630.095,422.54519999999997,105.42899999999999,101.32220000000001,62.46619999999999
zone-013,1071.4165999999998,1095.974,1090.6334000000002,1168.4799999999996,1203.0367999999996,1231.6164000000003,2395.3804,2741.3488,2850.307999999999,2754.7783999999983,2657.2835999999984,2412.001199999999,2719.5334000000003,2301.048599999998,1967.6787999999992,1935.6751999999985,1947.682199999999,2034.6597999999992,2429.9992,2462.6968,1684.0758000000003,1121.0422,907.2652,852.1860000000005
zone-014,517.0996000000001,518.8164,518.3882,530.0323999999999,536.2056,542.7547999999999,716.582,4265.313,4260.9634,4237.9534,4213.861600000001,4220.455199999999,4249.556200000001,4196.4534,4163.9428,4159.340999999999,4180.450199999999,4226.7136,4231.5332,4215.8952,611.4324,521.8199999999999,521.9812000000001,513.3922
