,Ea,El,Edata,Epro,Eaux,Ev,Eve,Qcs_sys,Qcdata_sys,Qcre_sys,Qcpro_sys,Qww_sys,Qhs_sys,Qhpro_sys
00:00,58840.66299999996,63930.39599999973,68045.78999999995,50634.49200000004,2036.6519999999582,0.0,0.0,0.0,61167.73899999998,0.0,0.0,23440.503000000095,187324.5279999991,446901.31400000054
01:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2290.469999999987,0.0,0.0,0.0,61167.73899999998,0.0,0.0,19382.482999999975,231601.1369999986,446901.31400000054
02:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2344.7949999999837,0.0,0.0,0.0,61174.52999999998,0.0,0.0,22668.735999999953,232374.81999999992,446901.31400000054
03:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2594.720999999994,0.0,0.0,0.0,61162.099000000024,0.0,0.0,22826.16099999994,328777.5799999995,446901.31400000054
04:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2639.7230000000004,0.0,0.0,0.0,61167.73899999998,0.0,0.0,19616.557999999997,343136.425000001,446901.31400000054
05:00,111044.2439999998,105681.70000000038,68045.78999999995,50634.49200000004,2703.988999999981,0.0,0.0,0.0,61170.018000000004,0.0,0.0,71970.59300000011,563903.7550000015,446901.31400000054
06:00,262572.6800000003,180959.13600000023,68045.78999999995,70745.05200000008,3271.4229999999984,0.0,0.0,0.0,61162.099000000024,0.0,0.0,173877.51600000152,1696902.8350000107,629724.6160000006
07:00,174041.2220000004,228195.90100000033,68045.78999999995,64041.5389999999,4282.330000000022,0.0,0.0,0.0,61162.099000000024,0.0,0.0,151892.94400000095,2300929.866000007,568783.4860000017
08:00,172709.79199999865,263178.0740000008,68045.78999999995,68510.49200000006,4531.859000000012,0.0,0.0,0.0,61170.580999999955,0.0,0.0,151128.79499999926,2213150.822000009,609410.8880000004
09:00,159855.7539999998,261182.99000000113,68045.78999999995,70745.05200000008,4518.086000000028,0.0,0.0,0.0,61179.05000000005,0.0,0.0,128955.76600000054,1961756.5340000046,629724.6160000006
10:00,190265.0309999996,305570.59700000077,68045.78999999995,72979.53199999993,4509.077000000011,0.0,0.0,0.0,61201.659000000014,0.0,0.0,121502.11900000037,1691997.612000001,650038.2839999993
11:00,127165.8780000002,226796.77100000117,68045.78999999995,72979.53199999993,4423.046999999997,0.0,0.0,0.0,61207.87199999998,0.0,0.0,131953.57300000006,1376903.697,650038.2839999993
12:00,279985.84399999934,265831.8249999994,68045.78999999995,72979.53199999993,4364.413000000005,0.0,0.0,0.0,61229.90600000001,0.0,0.0,187821.3729999993,1013557.2749999932,650038.2839999993
13:00,192869.40200000093,273433.7300000016,68045.78999999995,70745.05200000008,4406.773999999996,0.0,0.0,0.0,61229.90600000001,0.0,0.0,157180.6069999999,1133527.8679999958,629724.6160000006
14:00,189723.8709999998,303703.6120000008,68045.78999999995,72979.53199999993,4088.250000000011,0.0,0.0,0.0,61232.727000000035,0.0,0.0,85139.63800000005,1037020.4199999985,650038.2839999993
15:00,158843.93900000004,258938.832000001,68045.78999999995,75214.05299999988,3391.7149999999965,0.0,0.0,0.0,61241.20700000001,0.0,0.0,74004.25099999992,902843.7029999973,670352.017000001
16:00,150578.05100000024,240677.37900000036,68045.78999999995,75214.05299999988,3945.3419999999983,0.0,0.0,0.0,61235.558,0.0,0.0,75370.61000000045,936240.2730000012,670352.017000001
17:00,152211.1390000007,204822.9289999999,68045.78999999995,72979.53199999993,4104.362999999997,0.0,0.0,0.0,61229.90600000001,0.0,0.0,108749.68399999976,943466.3799999979,650038.2839999993
18:00,234048.70599999867,198198.9110000012,68045.78999999995,70745.05200000008,3303.7669999999794,0.0,0.0,0.0,61224.26099999998,0.0,0.0,151039.2509999994,645604.4089999999,629724.6160000006
19:00,274637.0759999996,212078.21899999992,68045.78999999995,61806.962000000014,3459.140999999999,0.0,0.0,0.0,61212.955000000045,0.0,0.0,151869.7620000004,689239.4159999968,548469.8030000011
20:00,112849.06499999986,109502.72300000029,68045.78999999995,59572.51100000002,3415.826999999978,0.0,0.0,0.0,61219.17299999996,0.0,0.0,148518.91400000107,802834.4540000003,528156.0939999995
21:00,113187.8329999999,111681.4430000003,68045.78999999995,59572.51100000002,1667.9389999998907,0.0,0.0,0.0,61212.955000000045,0.0,0.0,148532.9760000001,224937.54600000038,528156.0939999995
22:00,79956.02999999953,75091.90800000018,68045.78999999995,61806.962000000014,759.6359999999422,0.0,0.0,0.0,61218.60699999998,0.0,0.0,61687.74399999999,60981.51200000019,548469.8030000011
23:00,59381.822999999946,65797.38099999976,68045.78999999995,57337.96800000002,1053.3989999999314,0.0,0.0,0.0,61211.82499999998,0.0,0.0,52427.62200000016,77018.81199999967,507842.4210000002
