,Ea,El,Edata,Epro,Eaux,Ev,Eve,Qcs_sys,Qcdata_sys,Qcre_sys,Qcpro_sys,Qww_sys,Qhs_sys,Qhpro_sys
00:00,58840.66299999996,63930.39599999973,68045.78999999995,50634.49200000004,2529.94699999999,0.0,0.0,0.0,61162.099000000024,0.0,0.0,23487.880999999878,306990.6639999982,446901.31400000054
01:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2689.72999999999,0.0,0.0,0.0,61150.79400000001,0.0,0.0,19525.79599999994,411129.0470000006,446901.31400000054
02:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2640.678999999989,0.0,0.0,0.0,61168.30700000002,0.0,0.0,22761.188000000187,372861.70899999957,446901.31400000054
03:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2762.640999999971,0.0,0.0,0.0,61145.14699999992,0.0,0.0,23038.89500000001,529928.3850000035,446901.31400000054
04:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2777.976999999984,0.0,0.0,0.0,61150.79400000001,0.0,0.0,19788.064999999842,545909.8649999999,446901.31400000054
05:00,111044.2439999998,105681.70000000038,68045.78999999995,50634.49200000004,2815.073999999981,0.0,0.0,0.0,61162.099000000024,0.0,0.0,72061.34000000021,736314.1320000017,446901.31400000054
06:00,262572.6800000003,180959.13600000023,68045.78999999995,70745.05200000008,3280.2989999999972,0.0,0.0,0.0,61145.14699999992,0.0,0.0,174227.19399999903,2003310.0750000011,629724.6160000006
07:00,173701.04600000038,227028.65600000037,68045.78999999995,64041.5389999999,4299.875000000014,0.0,0.0,0.0,61150.79400000001,0.0,0.0,151975.2779999999,2675239.667000012,568783.4860000017
08:00,172148.05999999886,261250.65900000086,68045.78999999995,68510.49200000006,4547.656000000006,0.0,0.0,0.0,61174.52999999998,0.0,0.0,150211.2819999991,2384131.255999995,609410.8880000004
09:00,159072.45299999992,258495.39000000106,68045.78999999995,70745.05200000008,4534.350000000015,0.0,0.0,0.0,61184.69500000003,0.0,0.0,127550.71300000031,2076073.1689999995,629724.6160000006
10:00,189260.14899999954,302122.8330000008,68045.78999999995,72979.53199999993,4525.537999999997,0.0,0.0,0.0,61207.30400000004,0.0,0.0,120099.31899999978,1788512.0510000007,650038.2839999993
11:00,126382.57700000008,224109.1710000015,68045.78999999995,72979.53199999993,4407.831999999992,0.0,0.0,0.0,61213.52200000003,0.0,0.0,130996.81699999922,1484481.547999999,650038.2839999993
12:00,279857.4569999995,265390.9929999993,68045.78999999995,72979.53199999993,4373.164000000004,0.0,0.0,0.0,61235.558,0.0,0.0,187320.25899999903,1100396.2449999987,650038.2839999993
13:00,192307.67000000103,271506.3150000015,68045.78999999995,70745.05200000008,3541.3059999999887,0.0,0.0,0.0,61246.855999999985,0.0,0.0,156001.28199999954,1063319.648000003,629724.6160000006
14:00,188718.98899999986,300255.84800000093,68045.78999999995,72979.53199999993,3494.3449999999993,0.0,0.0,0.0,61243.46799999998,0.0,0.0,83665.43599999993,1002845.7199999981,650038.2839999993
15:00,158060.63800000027,256251.23200000098,68045.78999999995,75214.05299999988,3037.5459999999853,0.0,0.0,0.0,61246.855999999985,0.0,0.0,72642.74200000019,938300.6009999983,670352.017000001
16:00,149794.7500000001,237989.7790000003,68045.78999999995,75214.05299999988,3045.4649999999788,0.0,0.0,0.0,61246.855999999985,0.0,0.0,74740.43100000019,920260.6970000027,670352.017000001
17:00,151870.9630000007,203655.68399999998,68045.78999999995,72979.53199999993,3532.02199999999,0.0,0.0,0.0,61240.09299999998,0.0,0.0,108555.30600000032,926453.1539999944,650038.2839999993
18:00,234048.70599999867,198198.9110000012,68045.78999999995,70745.05200000008,3220.7839999999737,0.0,0.0,0.0,61224.26099999998,0.0,0.0,151042.55099999957,669325.0559999984,629724.6160000006
19:00,274637.0759999996,212078.21899999992,68045.78999999995,61806.962000000014,3452.1129999999976,0.0,0.0,0.0,61212.955000000045,0.0,0.0,151876.92700000037,699698.5079999991,548469.8030000011
20:00,112849.06499999986,109502.72300000029,68045.78999999995,59572.51100000002,3417.868999999978,0.0,0.0,0.0,61211.82499999998,0.0,0.0,148624.84000000043,892729.2020000007,528156.0939999995
21:00,113187.8329999999,111681.4430000003,68045.78999999995,59572.51100000002,1764.6729999998918,0.0,0.0,0.0,61195.992000000006,0.0,0.0,148770.61500000002,324839.77800000017,528156.0939999995
22:00,79956.02999999953,75091.90800000018,68045.78999999995,61806.962000000014,1412.3039999999248,0.0,0.0,0.0,61195.992000000006,0.0,0.0,61902.845999999954,108284.82599999996,548469.8030000011
23:00,59381.822999999946,65797.38099999976,68045.78999999995,57337.96800000002,1410.1679999999385,0.0,0.0,0.0,61202.79299999999,0.0,0.0,52510.71799999986,107618.12100000003,507842.4210000002
