,Ea,El,Edata,Epro,Eaux,Ev,Eve,Qcs_sys,Qcdata_sys,Qcre_sys,Qcpro_sys,Qww_sys,Qhs_sys,Qhpro_sys
00:00,58840.66299999996,63930.39599999973,68045.78999999995,50634.49200000004,2224.8679999999863,0.0,0.0,0.0,61167.73899999998,0.0,0.0,23443.626000000084,222440.31499999837,446901.31400000054
01:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2548.1729999999948,0.0,0.0,0.0,61162.099000000024,0.0,0.0,19431.678999999996,305846.67599999905,446901.31400000054
02:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2527.32999999999,0.0,0.0,0.0,61171.13699999998,0.0,0.0,22717.283999999974,291487.7990000012,446901.31400000054
03:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2670.174999999985,0.0,0.0,0.0,61162.099000000024,0.0,0.0,22831.75799999993,381946.3110000006,446901.31400000054
04:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2728.6489999999903,0.0,0.0,0.0,61150.79400000001,0.0,0.0,19783.534999999847,481902.39799999946,446901.31400000054
05:00,111044.2439999998,105681.70000000038,68045.78999999995,50634.49200000004,2762.885999999983,0.0,0.0,0.0,61161.534000000036,0.0,0.0,72063.97500000008,673467.3499999983,446901.31400000054
06:00,262572.6800000003,180959.13600000023,68045.78999999995,70745.05200000008,3272.3009999999977,0.0,0.0,0.0,61162.099000000024,0.0,0.0,173877.51600000152,1748569.3529999945,629724.6160000006
07:00,173701.04600000038,227028.65600000037,68045.78999999995,64041.5389999999,4290.585000000017,0.0,0.0,0.0,61150.79400000001,0.0,0.0,151962.5569999996,2524236.471999998,568783.4860000017
08:00,172148.05999999886,261250.65900000086,68045.78999999995,68510.49200000006,4539.311000000007,0.0,0.0,0.0,61167.73899999998,0.0,0.0,150332.40399999905,2330440.1580000026,609410.8880000004
09:00,159072.45299999992,258495.39000000106,68045.78999999995,70745.05200000008,4526.2750000000215,0.0,0.0,0.0,61173.40900000003,0.0,0.0,127748.23100000048,2091810.252000003,629724.6160000006
10:00,189260.14899999954,302122.8330000008,68045.78999999995,72979.53199999993,4518.198000000006,0.0,0.0,0.0,61190.34700000003,0.0,0.0,120402.3739999995,1912250.5729999999,650038.2839999993
11:00,126382.57700000008,224109.1710000015,68045.78999999995,72979.53199999993,4521.837999999993,0.0,0.0,0.0,61193.739000000016,0.0,0.0,131289.44600000072,1579878.1629999955,650038.2839999993
12:00,279857.4569999995,265390.9929999993,68045.78999999995,72979.53199999993,4544.451000000002,0.0,0.0,0.0,61201.659000000014,0.0,0.0,187946.7709999995,1429749.385999999,650038.2839999993
13:00,192307.67000000103,271506.3150000015,68045.78999999995,70745.05200000008,4533.5039999999935,0.0,0.0,0.0,61207.30400000004,0.0,0.0,156756.9759999996,1500573.657000003,629724.6160000006
14:00,188718.98899999986,300255.84800000093,68045.78999999995,72979.53199999993,4241.181000000008,0.0,0.0,0.0,61207.30400000004,0.0,0.0,84250.74399999988,1439968.484000002,650038.2839999993
15:00,158060.63800000027,256251.23200000098,68045.78999999995,75214.05299999988,4232.446000000011,0.0,0.0,0.0,61207.30400000004,0.0,0.0,73207.98100000006,1338944.8470000045,670352.017000001
16:00,149794.7500000001,237989.7790000003,68045.78999999995,75214.05299999988,4232.195999999988,0.0,0.0,0.0,61207.30400000004,0.0,0.0,75302.77300000018,1346886.535,670352.017000001
17:00,151870.9630000007,203655.68399999998,68045.78999999995,72979.53199999993,4256.748999999988,0.0,0.0,0.0,61197.12799999999,0.0,0.0,109267.98700000005,1408077.4320000045,650038.2839999993
18:00,234048.70599999867,198198.9110000012,68045.78999999995,70745.05200000008,3560.6549999999797,0.0,0.0,0.0,61184.69500000003,0.0,0.0,151746.63499999908,1047803.2899999971,629724.6160000006
19:00,274637.0759999996,212078.21899999992,68045.78999999995,61806.962000000014,3558.604999999994,0.0,0.0,0.0,61173.40900000003,0.0,0.0,152554.10499999975,1085230.5180000025,548469.8030000011
20:00,112849.06499999986,109502.72300000029,68045.78999999995,59572.51100000002,3497.649999999976,0.0,0.0,0.0,61175.09800000001,0.0,0.0,149155.00200000027,1273200.989000005,528156.0939999995
21:00,113187.8329999999,111681.4430000003,68045.78999999995,59572.51100000002,2124.5829999999282,0.0,0.0,0.0,61167.73899999998,0.0,0.0,149166.71999999898,531118.4300000003,528156.0939999995
22:00,79956.02999999953,75091.90800000018,68045.78999999995,61806.962000000014,2388.792999999982,0.0,0.0,0.0,61162.099000000024,0.0,0.0,62216.0559999998,259427.30500000002,548469.8030000011
23:00,59381.822999999946,65797.38099999976,68045.78999999995,57337.96800000002,2675.1509999999976,0.0,0.0,0.0,61165.485999999975,0.0,0.0,52821.70899999968,308879.67900000117,507842.4210000002
