,Ea,El,Edata,Epro,Eaux,Ev,Eve,Qcs_sys,Qcdata_sys,Qcre_sys,Qcpro_sys,Qww_sys,Qhs_sys,Qhpro_sys
00:00,58840.66299999996,63930.39599999973,68045.78999999995,50634.49200000004,94.05100000000373,0.0,0.0,0.0,61218.60699999998,0.0,0.0,17762.080000000005,11644.528000000022,446901.31400000054
01:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,117.22800000000542,0.0,0.0,0.0,61218.60699999998,0.0,0.0,18873.44200000002,14151.108000000002,446901.31400000054
02:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,139.9060000000036,0.0,0.0,0.0,61216.90900000001,0.0,0.0,14913.470000000052,16342.315000000035,446901.31400000054
03:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,198.54100000000253,0.0,0.0,0.0,61212.955000000045,0.0,0.0,14606.578999999994,22347.109999999964,446901.31400000054
04:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,290.5959999999904,0.0,0.0,0.0,61212.955000000045,0.0,0.0,14640.571999999886,28714.74500000004,446901.31400000054
05:00,78542.31199999954,70579.66400000025,68045.78999999995,50634.49200000004,278.2189999999896,0.0,0.0,0.0,61217.47700000002,0.0,0.0,21231.680999999975,25537.848000000056,446901.31400000054
06:00,197568.8619999991,110755.00400000038,68045.78999999995,50634.49200000004,1864.1089999999926,0.0,0.0,0.0,61212.955000000045,0.0,0.0,48081.719999999776,779082.8139999976,446901.31400000054
07:00,82065.60699999984,120964.79800000059,68045.78999999995,50634.49200000004,1937.828999999991,0.0,0.0,0.0,61212.955000000045,0.0,0.0,80111.94200000014,900959.9939999995,446901.31400000054
08:00,63503.10800000002,116616.49200000009,68045.78999999995,52868.97400000011,2220.7759999999844,0.0,0.0,0.0,61217.47700000002,0.0,0.0,143740.19100000084,912741.8530000056,467215.0350000012
09:00,62972.217000000004,116605.48600000009,68045.78999999995,55103.481000000065,2219.5809999999847,0.0,0.0,0.0,61212.955000000045,0.0,0.0,142128.9170000006,906526.5509999974,487528.72599999927
10:00,62940.98499999999,116637.88600000006,68045.78999999995,55103.481000000065,2209.3139999999917,0.0,0.0,0.0,61218.60699999998,0.0,0.0,129788.8950000003,872563.825000003,487528.72599999927
11:00,63070.35200000005,117553.12000000024,68045.78999999995,17116.856000000003,2227.4509999999796,0.0,0.0,0.0,61222.002,0.0,0.0,162907.9890000001,844388.7310000022,142195.91999999993
12:00,202352.89599999887,166762.9390000008,68045.78999999995,14882.357000000013,2234.6879999999815,0.0,0.0,0.0,61224.26099999998,0.0,0.0,190098.2230000009,656123.7589999974,121882.17600000008
13:00,83662.71799999979,126872.14800000052,68045.78999999995,14882.357000000013,2201.530999999988,0.0,0.0,0.0,61229.90600000001,0.0,0.0,139680.64000000016,722906.5150000011,121882.17600000008
14:00,62399.824999999975,114770.90100000014,68045.78999999995,14882.357000000013,1909.5109999999868,0.0,0.0,0.0,61233.863000000034,0.0,0.0,80343.9699999999,681039.0609999992,121882.17600000008
15:00,62246.52699999996,114593.08500000017,68045.78999999995,14882.357000000013,1895.7269999999846,0.0,0.0,0.0,61235.558,0.0,0.0,63973.54299999983,658272.9759999992,121882.17600000008
16:00,62153.070999999945,114476.51400000016,68045.78999999995,12647.852000000035,1908.946999999985,0.0,0.0,0.0,61235.558,0.0,0.0,80780.62099999981,647296.1290000008,101568.47999999976
17:00,81903.48099999975,120993.21800000056,68045.78999999995,12647.852000000035,1931.1799999999837,0.0,0.0,0.0,61235.558,0.0,0.0,103859.21499999947,593571.7579999999,101568.47999999976
18:00,201546.77399999858,163096.87500000076,68045.78999999995,12647.852000000035,2113.862999999987,0.0,0.0,0.0,61235.558,0.0,0.0,154055.43499999936,468310.27400000027,101568.47999999976
19:00,242135.14399999924,176976.18299999987,68045.78999999995,12647.852000000035,2040.274999999985,0.0,0.0,0.0,61229.90600000001,0.0,0.0,124583.01900000099,424986.62199999916,101568.47999999976
20:00,80347.13299999968,74400.68700000022,68045.78999999995,12647.852000000035,2145.952999999991,0.0,0.0,0.0,61229.90600000001,0.0,0.0,102459.75599999963,597811.8880000003,101568.47999999976
21:00,80685.90099999978,76579.40700000033,68045.78999999995,12647.852000000035,368.2119999999913,0.0,0.0,0.0,61224.26099999998,0.0,0.0,127980.22800000018,87589.12999999996,101568.47999999976
22:00,79956.02999999953,75091.90800000018,68045.78999999995,12647.852000000035,270.2660000000044,0.0,0.0,0.0,61229.90600000001,0.0,0.0,64490.22100000002,31342.925000000043,101568.47999999976
23:00,59381.822999999946,65797.38099999976,68045.78999999995,12647.852000000035,266.75300000000607,0.0,0.0,0.0,61228.213,0.0,0.0,45840.33200000008,32851.51399999999,101568.47999999976
