,Ea,El,Edata,Epro,Eaux,Ev,Eve,Qcs_sys,Qcdata_sys,Qcre_sys,Qcpro_sys,Qww_sys,Qhs_sys,Qhpro_sys
00:00,58840.66299999996,63930.39599999973,68045.78999999995,50634.49200000004,1635.4679999999476,0.0,0.0,0.0,61190.34700000003,0.0,0.0,23275.945999999767,113451.53799999955,446901.31400000054
01:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,1815.6869999999633,0.0,0.0,0.0,61190.34700000003,0.0,0.0,19194.572999999993,131177.39899999957,446901.31400000054
02:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2013.6869999999863,0.0,0.0,0.0,61191.48100000003,0.0,0.0,22456.843000000008,151140.1949999996,446901.31400000054
03:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2320.3559999999866,0.0,0.0,0.0,61184.69500000003,0.0,0.0,22549.577999999972,203738.44699999882,446901.31400000054
04:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,2488.757999999996,0.0,0.0,0.0,61179.05000000005,0.0,0.0,19502.392000000156,261446.02600000025,446901.31400000054
05:00,111044.2439999998,105681.70000000038,68045.78999999995,50634.49200000004,2583.749999999985,0.0,0.0,0.0,61185.83,0.0,0.0,71796.51300000004,414957.57200000057,446901.31400000054
06:00,262572.6800000003,180959.13600000023,68045.78999999995,70745.05200000008,3269.4979999999987,0.0,0.0,0.0,61173.40900000003,0.0,0.0,173644.45399999997,1528992.836000004,629724.6160000006
07:00,173701.04600000038,227028.65600000037,68045.78999999995,64041.5389999999,4290.423000000017,0.0,0.0,0.0,61167.73899999998,0.0,0.0,151585.5019999998,2184154.555999995,568783.4860000017
08:00,172148.05999999886,261250.65900000086,68045.78999999995,68510.49200000006,4539.391000000008,0.0,0.0,0.0,61185.26299999996,0.0,0.0,149955.76599999986,1986175.5639999937,609410.8880000004
09:00,159072.45299999992,258495.39000000106,68045.78999999995,70745.05200000008,4524.993000000023,0.0,0.0,0.0,61195.992000000006,0.0,0.0,127345.94699999991,1717090.1959999905,629724.6160000006
10:00,189260.14899999954,302122.8330000008,68045.78999999995,72979.53199999993,4516.953000000006,0.0,0.0,0.0,61201.659000000014,0.0,0.0,120198.9280000002,1655235.8939999938,650038.2839999993
11:00,126382.57700000008,224109.1710000015,68045.78999999995,72979.53199999993,4444.645999999994,0.0,0.0,0.0,61208.99700000002,0.0,0.0,131061.65599999916,1345430.2780000016,650038.2839999993
12:00,279857.4569999995,265390.9929999993,68045.78999999995,72979.53199999993,4526.836000000002,0.0,0.0,0.0,61218.60699999998,0.0,0.0,187634.1159999992,1143299.224,650038.2839999993
13:00,192307.67000000103,271506.3150000015,68045.78999999995,70745.05200000008,4512.662999999994,0.0,0.0,0.0,61218.60699999998,0.0,0.0,156544.2469999994,1251013.3220000018,629724.6160000006
14:00,188718.98899999986,300255.84800000093,68045.78999999995,72979.53199999993,4188.673000000014,0.0,0.0,0.0,61225.38799999999,0.0,0.0,83960.2960000001,1104314.028999996,650038.2839999993
15:00,158060.63800000027,256251.23200000098,68045.78999999995,75214.05299999988,4113.72400000001,0.0,0.0,0.0,61224.26099999998,0.0,0.0,72970.75099999995,1036699.2950000031,670352.017000001
16:00,149794.7500000001,237989.7790000003,68045.78999999995,75214.05299999988,4123.66399999999,0.0,0.0,0.0,61224.26099999998,0.0,0.0,75066.86999999973,1031142.9950000001,670352.017000001
17:00,151870.9630000007,203655.68399999998,68045.78999999995,72979.53199999993,4233.955999999988,0.0,0.0,0.0,61220.86800000001,0.0,0.0,108875.52100000018,1041011.8580000058,650038.2839999993
18:00,234048.70599999867,198198.9110000012,68045.78999999995,70745.05200000008,3472.768999999982,0.0,0.0,0.0,61212.955000000045,0.0,0.0,151248.29999999987,727564.6909999995,629724.6160000006
19:00,274637.0759999996,212078.21899999992,68045.78999999995,61806.962000000014,3547.225999999998,0.0,0.0,0.0,61190.34700000003,0.0,0.0,152263.54599999884,859682.0340000058,548469.8030000011
20:00,112849.06499999986,109502.72300000029,68045.78999999995,59572.51100000002,3477.513999999976,0.0,0.0,0.0,61208.99700000002,0.0,0.0,148665.82599999994,910799.5020000045,528156.0939999995
21:00,113187.8329999999,111681.4430000003,68045.78999999995,59572.51100000002,1758.5699999998913,0.0,0.0,0.0,61195.992000000006,0.0,0.0,148763.5849999996,323002.9600000003,528156.0939999995
22:00,79956.02999999953,75091.90800000018,68045.78999999995,61806.962000000014,1255.847999999923,0.0,0.0,0.0,61201.659000000014,0.0,0.0,61846.62700000025,90692.65900000016,548469.8030000011
23:00,59381.822999999946,65797.38099999976,68045.78999999995,57337.96800000002,1581.8689999999362,0.0,0.0,0.0,61198.829999999994,0.0,0.0,52539.98000000009,111666.80400000027,507842.4210000002
