zone_id,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
zone-001,76.20779999999999,91.23960000000001,110.38979999999998,125.421,133.40279999999998,147.8328,612.6612,632.2146,610.2234000000001,568.2515999999999,542.8452000000002,523.8569999999999,435.375,483.9582,474.78659999999996,458.1689999999999,452.7137999999999,456.50939999999997,401.69579999999996,375.06419999999997,434.11260000000004,57.99899999999999,54.3942,67.98599999999998
zone-002,50.65439999999999,61.543800000000005,76.2102,87.8424,93.76079999999996,114.1572,594.7758,624.8015999999999,604.1718000000001,559.5749999999999,533.8355999999999,514.8942,415.18439999999987,475.6584,465.9072000000001,447.75059999999996,442.90500000000003,447.91679999999997,385.29599999999994,355.38120000000004,425.7725999999999,59.7378,46.24379999999999,50.23740000000001
zone-003,19.6428,21.564,28.5816,31.025999999999996,29.720999999999997,41.338800000000006,271.6554,297.51059999999995,286.96079999999995,265.2318,252.0852,244.10819999999998,201.4002,226.72319999999996,221.3778,213.49800000000002,209.92139999999995,212.6568,181.33679999999998,166.88460000000003,199.20360000000005,26.2344,20.4222,21.3414
zone-004,37.68,45.94380000000001,56.023799999999994,66.0804,72.6858,85.6332,387.0054,400.38359999999994,386.71079999999995,360.063,344.1378,332.26439999999997,275.6094,307.0998,300.8664,290.0952,286.899,289.4196,254.12039999999996,236.66939999999997,274.23720000000003,29.7378,24.594,33.543
zone-005,89.71800000000002,105.26579999999998,123.1776,138.8928,146.5074,166.0332,642.2172,883.9793999999998,809.3753999999997,731.1983999999999,671.0849999999999,649.9974000000001,577.7711999999999,602.4174,553.2678,535.4436,539.1899999999999,584.1353999999999,440.6214000000001,410.4426,462.97439999999983,75.29940000000002,68.79599999999999,81.85679999999996
zone-006,51.917399999999994,65.06820000000002,93.417,116.8044,126.441,181.36499999999998,1098.465,1347.6659999999997,1257.8700000000001,1142.2536,1060.6560000000002,1019.9111999999999,844.8798,932.5434000000001,880.2023999999999,846.7620000000001,844.2695999999999,883.3319999999999,686.4894,626.3430000000001,753.1103999999999,97.22040000000001,59.767799999999994,58.3164
zone-007,5.973,7.5246,9.8058,11.138399999999999,11.932199999999998,14.6358,100.773,106.73039999999999,103.22579999999999,95.466,91.1766,88.04879999999999,70.70519999999999,81.5742,80.1102,76.82039999999999,75.80099999999999,76.78200000000001,65.77559999999998,60.7272,73.25699999999999,8.5962,6.207,6.3468
zone-008,16.793400000000002,19.942800000000005,25.166399999999996,29.551799999999997,31.4424,38.336999999999996,161.30700000000002,175.19339999999997,169.83659999999998,155.9364,147.9648,142.1526,105.37499999999999,129.4158,127.81559999999999,122.5398,121.26419999999997,121.74539999999999,97.76699999999997,88.44120000000001,115.4736,18.037799999999997,14.241,16.2396
zone-009,8.4426,11.2464,14.9298,18.406199999999995,21.438599999999994,25.397399999999994,160.1448,165.588,159.92399999999998,148.74779999999998,142.3506,137.6196,115.73759999999999,128.3778,124.8426,120.14219999999999,118.68059999999998,120.76499999999999,107.289,100.20359999999998,114.60899999999998,13.626600000000002,9.005400000000002,8.381400000000001
zone-010,10.009199999999998,10.3644,13.9956,15.934199999999997,15.445799999999998,22.050600000000003,142.4934,1195.2432000000001,1242.2063999999998,1278.2904,855.0174,1132.2371999999996,1127.6442000000002,881.4780000000002,451.7507999999999,649.7069999999999,414.3768,542.8548,315.3126,287.7942,416.3166,442.15739999999994,170.1156,173.70479999999998
zone-011,54.0594,49.2936,61.182,82.44659999999999,95.76179999999998,243.45119999999997,1254.5544,1843.7322000000001,1699.8371999999997,1487.6298000000002,1376.3544000000002,1325.9058,888.5538,1217.0190000000002,1208.3778,1148.3652,1142.4479999999999,1231.3608,766.9655999999999,689.3411999999998,1035.309,198.1332,114.0114,91.11180000000002
zone-012,16.1922,16.452599999999997,22.8144,26.8602,27.360599999999994,62.95739999999999,411.31500000000005,473.4678,465.9,426.59999999999997,407.226,394.03139999999996,270.9024,360.9804,358.1154,342.4482,341.2872,344.86260000000004,262.1796,228.06240000000003,325.2114,55.18260000000001,31.8918,26.667
zone-013,635.1839999999997,656.4750000000001,685.0806000000001,712.4670000000002,723.0587999999998,780.2160000000003,1911.1127999999994,2402.16,2405.6423999999997,2277.297,2184.9486,2170.1351999999997,1980.1932,2008.3751999999981,1821.0377999999994,1785.8807999999988,1777.0901999999992,1793.9651999999994,1570.8911999999998,1382.3508000000002,1600.3103999999996,949.4717999999998,810.2303999999996,788.1773999999996
zone-014,6.529799999999998,6.739200000000001,7.456200000000001,8.912999999999998,10.066199999999998,19.474800000000002,144.408,196.4952,218.5674,206.22839999999997,199.4748,223.4214,190.779,211.8342,180.81599999999997,175.68959999999998,203.63819999999998,262.683,183.5238,144.41639999999998,106.9134,15.6738,9.768,8.7312
zone-015,24.277199999999997,30.387599999999996,39.87059999999999,48.729600000000005,53.7144,63.75659999999999,260.74379999999996,270.0948,260.0196,240.68759999999997,228.951,220.2246,178.2396,201.768,197.6076,190.34519999999998,188.39460000000003,189.9024,163.82819999999998,151.0464,179.418,24.101399999999998,18.948600000000003,22.139999999999993
zone-016,133.49759999999998,140.0862,150.13319999999996,160.19819999999999,163.2426,210.7434,789.7320000000001,1513.5569999999998,1327.2132000000001,1195.755,1102.1753999999999,1049.1486,890.1329999999998,989.7491999999999,878.0009999999999,860.0094,877.9044,988.1124,556.5216,501.15000000000003,637.7003999999998,189.26759999999996,169.5312,141.8538
zone-017,37.798199999999994,36.641400000000004,47.0172,60.10920000000001,65.80319999999999,188.8602,1274.8020000000001,1471.7405999999999,1452.4386000000004,1334.3519999999996,1276.1951999999997,1236.6204000000002,849.8796000000001,1132.1736,1124.4918,1077.5778,1075.3086,1083.7758000000001,822.1475999999998,727.5018000000001,1015.2024,169.8558,97.29359999999998,76.00379999999998
zone-018,137.56140000000002,144.50760000000005,168.29700000000005,202.52279999999996,224.86440000000002,358.6787999999999,1731.3684000000003,2206.6818000000003,2148.9576,1966.0145999999995,1859.2992,1785.7373999999998,1263.7374000000002,1624.1622000000002,1611.3978000000002,1539.7583999999997,1512.969,1520.6526000000001,1074.6503999999998,976.9541999999998,1343.9711999999997,235.63559999999998,166.02719999999997,162.90779999999998
zone-019,36.3138,41.03279999999999,61.48680000000001,71.0706,78.53519999999999,157.33499999999998,1413.5261999999998,1809.9816,1703.5631999999996,1547.9178000000002,1438.6085999999998,1398.9132000000002,1126.9824000000003,1280.0813999999998,1206.9696000000001,1164.0503999999999,1167.3804,1229.766,901.0859999999999,810.3467999999999,994.9314,124.9788,72.07139999999998,57.88799999999998
zone-020,610.1634,609.24,608.868,609.249,609.2891999999999,622.7873999999999,977.3136000000001,1052.3376,1111.7628,1109.3501999999999,1124.2842,1136.6754,1100.9628,1092.8454,1084.5353999999998,1100.0544,1126.6067999999998,1164.9659999999997,1044.8262,893.7005999999999,805.7328,732.1043999999999,749.6705999999999,693.9635999999999
