,Ea,El,Edata,Epro,Eaux,Ev,Eve,Qcs_sys,Qcdata_sys,Qcre_sys,Qcpro_sys,Qww_sys,Qhs_sys,Qhpro_sys
00:00,58840.66299999996,63930.39599999973,68045.78999999995,50634.49200000004,504.9469999999765,0.0,0.0,0.0,61207.30400000004,0.0,0.0,23135.874000000196,33895.80100000001,446901.31400000054
01:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,605.4299999999771,0.0,0.0,0.0,61207.30400000004,0.0,0.0,19035.379000000023,40902.44700000001,446901.31400000054
02:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,360.9889999999938,0.0,0.0,0.0,61225.38799999999,0.0,0.0,21960.565,26274.376000000033,446901.31400000054
03:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,676.2839999999809,0.0,0.0,0.0,61212.955000000045,0.0,0.0,22152.920999999973,45199.8649999999,446901.31400000054
04:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,1048.699999999966,0.0,0.0,0.0,61207.30400000004,0.0,0.0,19204.117000000057,69172.06499999965,446901.31400000054
05:00,111044.2439999998,105681.70000000038,68045.78999999995,50634.49200000004,1599.881999999907,0.0,0.0,0.0,61218.03799999997,0.0,0.0,71428.38300000002,116180.59300000026,446901.31400000054
06:00,262572.6800000003,180959.13600000023,68045.78999999995,70745.05200000008,3268.8509999999983,0.0,0.0,0.0,61207.30400000004,0.0,0.0,172945.28100000086,1062333.5430000077,629724.6160000006
07:00,173701.04600000038,227028.65600000037,68045.78999999995,64041.5389999999,4274.730000000021,0.0,0.0,0.0,61207.30400000004,0.0,0.0,150735.52199999985,1537505.7980000016,568783.4860000017
08:00,172148.05999999886,261250.65900000086,68045.78999999995,68510.49200000006,4520.712000000012,0.0,0.0,0.0,61220.303,0.0,0.0,149216.4200000004,1364616.9830000016,609410.8880000004
09:00,159072.45299999992,258495.39000000106,68045.78999999995,70745.05200000008,4453.56000000003,0.0,0.0,0.0,61218.60699999998,0.0,0.0,126940.20199999986,1281384.4140000017,629724.6160000006
10:00,189260.14899999954,302122.8330000008,68045.78999999995,72979.53199999993,4220.206000000011,0.0,0.0,0.0,61235.558,0.0,0.0,119580.0590000006,1059249.2660000003,650038.2839999993
11:00,126382.57700000008,224109.1710000015,68045.78999999995,72979.53199999993,3183.717999999976,0.0,0.0,0.0,61246.855999999985,0.0,0.0,130469.00099999952,929373.1550000003,650038.2839999993
12:00,279857.4569999995,265390.9929999993,68045.78999999995,72979.53199999993,3220.2849999999767,0.0,0.0,0.0,61246.855999999985,0.0,0.0,187087.39199999906,730048.6769999992,650038.2839999993
13:00,192307.67000000103,271506.3150000015,68045.78999999995,70745.05200000008,3091.3609999999835,0.0,0.0,0.0,61258.16100000002,0.0,0.0,155738.13199999978,759959.366999998,629724.6160000006
14:00,188718.98899999986,300255.84800000093,68045.78999999995,72979.53199999993,2720.945999999981,0.0,0.0,0.0,61267.20400000001,0.0,0.0,83195.27499999969,682316.9659999994,650038.2839999993
15:00,158060.63800000027,256251.23200000098,68045.78999999995,75214.05299999988,2760.8929999999864,0.0,0.0,0.0,61263.81499999998,0.0,0.0,72345.71399999983,679690.3569999982,670352.017000001
16:00,149794.7500000001,237989.7790000003,68045.78999999995,75214.05299999988,2795.23399999998,0.0,0.0,0.0,61258.16100000002,0.0,0.0,74535.82700000003,703048.2809999989,670352.017000001
17:00,151870.9630000007,203655.68399999998,68045.78999999995,72979.53199999993,2836.3659999999923,0.0,0.0,0.0,61257.60000000005,0.0,0.0,108202.09600000067,653289.6080000012,650038.2839999993
18:00,234048.70599999867,198198.9110000012,68045.78999999995,70745.05200000008,2157.338999999958,0.0,0.0,0.0,61241.20700000001,0.0,0.0,150707.72400000007,434344.8809999994,629724.6160000006
19:00,274637.0759999996,212078.21899999992,68045.78999999995,61806.962000000014,2185.44499999996,0.0,0.0,0.0,61235.558,0.0,0.0,151465.33300000033,397678.5650000005,548469.8030000011
20:00,112849.06499999986,109502.72300000029,68045.78999999995,59572.51100000002,2220.500999999963,0.0,0.0,0.0,61246.292,0.0,0.0,148102.4070000005,526470.8299999997,528156.0939999995
21:00,113187.8329999999,111681.4430000003,68045.78999999995,59572.51100000002,497.6009999999714,0.0,0.0,0.0,61235.558,0.0,0.0,148171.07699999996,77640.07899999998,528156.0939999995
22:00,79956.02999999953,75091.90800000018,68045.78999999995,61806.962000000014,297.27399999999926,0.0,0.0,0.0,61241.20700000001,0.0,0.0,61427.953000000074,28014.246000000043,548469.8030000011
23:00,59381.822999999946,65797.38099999976,68045.78999999995,57337.96800000002,307.9279999999918,0.0,0.0,0.0,61239.522000000026,0.0,0.0,52148.19000000019,30244.546999999922,507842.4210000002
